student_id,name,exam_no,exam_date,exam_label,total_score,max_score,percentage,rank,percentile
STU018,Raj Saxena,1,2024-01-15,NEET Mock 01,325,728,44.64,1,100.0
STU036,Lakshay Tripathi,1,2024-01-15,NEET Mock 01,311,728,42.72,2,98.99
STU041,Karan Menon,1,2024-01-15,NEET Mock 01,305,728,41.9,3,97.98
STU005,Shreya Iyer,1,2024-01-15,NEET Mock 01,304,728,41.76,4,96.97
STU093,Ashish Tripathi,1,2024-01-15,NEET Mock 01,291,728,39.97,5,95.96
STU063,Rohit Rao,1,2024-01-15,NEET Mock 01,287,728,39.42,6,94.95
STU014,Harsh Tripathi,1,2024-01-15,NEET Mock 01,283,728,38.87,7,93.94
STU042,Vivaan Kumar,1,2024-01-15,NEET Mock 01,281,728,38.6,8,92.93
STU026,Parth Pillai,1,2024-01-15,NEET Mock 01,275,728,37.77,9,91.92
STU015,Amit Menon,1,2024-01-15,NEET Mock 01,273,728,37.5,10,90.91
STU043,Naman Gupta,1,2024-01-15,NEET Mock 01,273,728,37.5,11,89.9
STU047,Avni Krishnan,1,2024-01-15,NEET Mock 01,270,728,37.09,12,88.89
STU022,Krishna Joshi,1,2024-01-15,NEET Mock 01,269,728,36.95,13,87.88
STU097,Ishaan Verma,1,2024-01-15,NEET Mock 01,269,728,36.95,14,86.87
STU066,Harsh Saxena,1,2024-01-15,NEET Mock 01,268,728,36.81,15,85.86
STU057,Sneha Tiwari,1,2024-01-15,NEET Mock 01,266,728,36.54,16,84.85
STU013,Pinki Verma,1,2024-01-15,NEET Mock 01,265,728,36.4,17,83.84
STU064,Shaurya Gupta,1,2024-01-15,NEET Mock 01,264,728,36.26,18,82.83
STU098,Gaurav Nair,1,2024-01-15,NEET Mock 01,262,728,35.99,19,81.82
STU037,Priya Patel,1,2024-01-15,NEET Mock 01,259,728,35.58,20,80.81
STU049,Amit Joshi,1,2024-01-15,NEET Mock 01,258,728,35.44,21,79.8
STU062,Om Bhat,1,2024-01-15,NEET Mock 01,258,728,35.44,22,78.79
STU017,Ravi Tripathi,1,2024-01-15,NEET Mock 01,257,728,35.3,23,77.78
STU048,Aadhya Shah,1,2024-01-15,NEET Mock 01,257,728,35.3,24,76.77
STU059,Usha Sharma,1,2024-01-15,NEET Mock 01,254,728,34.89,25,75.76
STU073,Arnav Tiwari,1,2024-01-15,NEET Mock 01,254,728,34.89,26,74.75
STU100,Kavya Shukla,1,2024-01-15,NEET Mock 01,254,728,34.89,27,73.74
STU032,Sumit Srivastava,1,2024-01-15,NEET Mock 01,248,728,34.07,28,72.73
STU085,Puja Chaturvedi,1,2024-01-15,NEET Mock 01,248,728,34.07,29,71.72
STU016,Nisha Pandey,1,2024-01-15,NEET Mock 01,246,728,33.79,30,70.71
STU001,Rekha Kumar,1,2024-01-15,NEET Mock 01,244,728,33.52,31,69.7
STU078,Pranav Mehta,1,2024-01-15,NEET Mock 01,240,728,32.97,32,68.69
STU010,Arjun Iyer,1,2024-01-15,NEET Mock 01,236,728,32.42,33,67.68
STU045,Anaya Iyer,1,2024-01-15,NEET Mock 01,235,728,32.28,34,66.67
STU069,Amit Sharma,1,2024-01-15,NEET Mock 01,233,728,32.01,35,65.66
STU075,Vihaan Kaur,1,2024-01-15,NEET Mock 01,232,728,31.87,36,64.65
STU091,Arnav Iyer,1,2024-01-15,NEET Mock 01,231,728,31.73,37,63.64
STU023,Krishna Bhat,1,2024-01-15,NEET Mock 01,229,728,31.46,38,62.63
STU081,Vihaan Saxena,1,2024-01-15,NEET Mock 01,229,728,31.46,39,61.62
STU004,Arnav Yadav,1,2024-01-15,NEET Mock 01,227,728,31.18,40,60.61
STU082,Anita Bhat,1,2024-01-15,NEET Mock 01,227,728,31.18,41,59.6
STU077,Sai Patel,1,2024-01-15,NEET Mock 01,225,728,30.91,42,58.59
STU003,Om Shukla,1,2024-01-15,NEET Mock 01,224,728,30.77,43,57.58
STU012,Vishal Mehta,1,2024-01-15,NEET Mock 01,224,728,30.77,44,56.57
STU089,Pinki Saxena,1,2024-01-15,NEET Mock 01,223,728,30.63,45,55.56
STU054,Puja Bhat,1,2024-01-15,NEET Mock 01,222,728,30.49,46,54.55
STU002,Akash Verma,1,2024-01-15,NEET Mock 01,220,728,30.22,47,53.54
STU072,Sunita Singh,1,2024-01-15,NEET Mock 01,218,728,29.95,48,52.53
STU088,Divya Sharma,1,2024-01-15,NEET Mock 01,218,728,29.95,49,51.52
STU007,Kiara Subramaniam,1,2024-01-15,NEET Mock 01,216,728,29.67,50,50.51
STU035,Shreya Shah,1,2024-01-15,NEET Mock 01,216,728,29.67,51,49.49
STU094,Savita Singh,1,2024-01-15,NEET Mock 01,215,728,29.53,52,48.48
STU009,Gaurav Shah,1,2024-01-15,NEET Mock 01,214,728,29.4,53,47.47
STU039,Sandeep Gupta,1,2024-01-15,NEET Mock 01,214,728,29.4,54,46.46
STU029,Sumit Yadav,1,2024-01-15,NEET Mock 01,211,728,28.98,55,45.45
STU095,Arjun Tiwari,1,2024-01-15,NEET Mock 01,210,728,28.85,56,44.44
STU096,Pratik Reddy,1,2024-01-15,NEET Mock 01,207,728,28.43,57,43.43
STU099,Sai Bhat,1,2024-01-15,NEET Mock 01,202,728,27.75,58,42.42
STU011,Sunita Saxena,1,2024-01-15,NEET Mock 01,199,728,27.34,59,41.41
STU070,Aanya Verma,1,2024-01-15,NEET Mock 01,199,728,27.34,60,40.4
STU051,Aadhya Pandey,1,2024-01-15,NEET Mock 01,198,728,27.2,61,39.39
